Address,Quantity,Percentage
0xa4001e97b0d83099a67e461e823816ed7471959f,100,0.00%
0x06bbdb8674f719f6773f0f3a34f961453c6ac02b,100,0.00%
0x1d151ea535c2b9f21a88459c03afdc5e627cecea,100,0.00%
0xd65de3c00c9bc36afd959afade259d3e92c8e87f,99.5,0.00%
0xc22584a00263fb7835d856bfac1f22a8a2dac310,99.5,0.00%
0xe67d2ff0e391e4967b0508e63b206936409ce753,99.00021739,0.00%
0x9fc1468c157a2cddbdeac23db66b64af4e1e6471,99,0.00%
0x8bc6adea1af4ef3e8c4af950ca2bc311238cfd3d,98.8991496,0.00%
0x2da8b0b741090dd2fca6e7c90088b187736b956b,95.9564403,0.00%
0x9c8eb4bc2d9abbe744e21bf6e958b28ffb060f69,92,0.00%
0x51fc3e73d3079f263be22f7e50fe9afdf8bd139e,88,0.00%
0x31edc1b053791773f3d8219512ec49d4f1a64044,80,0.00%
0x3688ed3a3c2394db3bd596ec5ed57a09614d7226,80,0.00%
0x1d99356c9d132026e29a60ccfa08e25ca741232c,72.5,0.00%
0x8a62ba45c410be3d114b96a39f854e44542839ee,69.48,0.00%
0xe79f82523271c8751638a0d97feea4a9548511dc,69.25933031,0.00%
0x9b81257e3c9b37f1defea15a417be6eadb22cf33,68.08462867,0.00%
0xfb547141d03686ea8dda30a0499f18e61278a0ff,66.5,0.00%
0xd454f80fcfabc5aad7c3436fe7e05130927b9b0f,66,0.00%
0x12deee1296e310a603f5955e424ae6a7d15fe968,65.5,0.00%
0x986d9c07148901b83ecef95090aa120bce1b2f86,60,0.00%
0x6581b9a037eaffaf1950cfbc44729db799b20667,59.4405,0.00%
0x4a215af3711c4403ef2fda9eb36a529838477370,57,0.00%
0x30173faeaf4893219a0a2eab515cd44ceed6da4a,50.0315,0.00%
0x851e931a6cabbdd5b17d0da2cd4b0edf11941968,50,0.00%
0x9dea389bd7f7454f481c397b9c51d66ac4909621,48.93586343,0.00%
0xb62e4f4d5fc5b401445831b421fefdb894b2d57e,42.68390584,0.00%
0xd0a75ddd983132c717e05502c8d98d504e3218f7,40,0.00%
0xc9d0872095d890b50cf73c8de9ca7e403010bcd9,39,0.00%
0xb806347bf0172944a7f46ab8c8414065e6930e37,38.5,0.00%
0x00f65ff4365c290437b1757372eeb5918ec7683a,33.5,0.00%
0x048f482ff8524605a31a6451598b882b08c49662,31,0.00%
0x37c32e447931f048f813f48e57857fd9312de552,30,0.00%
0xb2ed82f3a874054d164cbe334be1e5bf586a2f1f,30,0.00%
0xaead3b81c076a0a98bff1f15330c62e4a5b39b3a,25,0.00%
0x52b3fa52253e4488661cdcd83bff236dd11f917c,22.28056148,0.00%
