Address,Quantity,Percentage
0xda0374f2a1982297c4be3b158ec0215e467f7c2e,24750,0.00%
0x7ef69e249dc96eabd81e86d14617c04ed3df0845,24750,0.00%
0xaec009aa97ab6a65f79ca4224a7df524b616bd87,24750,0.00%
0x2ff40274e7c000f6ed2429128adf3ff2a27522d1,24750,0.00%
0x55c36f5c4f77c64c7004de13dc6b80b577904c6b,24750,0.00%
0xf1d4aa8bbf5baeaa7176be26b5ac4154ce6318d1,24750,0.00%
0x9428e55418755b2f902d3b1f898a871ab5634182,24750,0.00%
0x5fc9b8615fe4b67c5df81935ec3fc7e098890b3b,24750,0.00%
0xad898396c3b3e5997b895fa63bf85a2d1cf001d6,24750,0.00%
0x47375ebc47a4b7e3e83d034ca17889b569d20525,24750,0.00%
0xf677b9124e86449c44f6c432f4451cba811da467,24750,0.00%
0xfcffc29a4767c8ebd66948cafd8d989a28bb28e4,24750,0.00%
0x87457c913284db1164fd146881e566e3e86593b6,24750,0.00%
0x7b0d82cb7d90e10e69e788cfe3bd635aee686fa1,24750,0.00%
0xdb1fd0213f1d47a49506412513ffa0fbbb869ee9,24750,0.00%
0xd08edc3140ba71d66c6062a150c164f962b8090e,24750,0.00%
0xa3f8b5dfdf80d9af1ba51422f8614a256794c379,24700,0.00%
0x784510710846e3ae729078c21432c240e933cf18,24600,0.00%
0xe74c86970ac14df5c619017be17193bb8b584f95,24000,0.00%
0x3403af27c6f61333d07436974812bcf1df766586,23908.068,0.00%
0xb09db96dcc4d6d33a1b10ad0d7b003863abe4c97,23760,0.00%
0x12c95179e77e04aa63afec405066bb7d6f19aee1,23760,0.00%
0xc7fd117f98e181b7f0bf43889da0490828a38d59,23760,0.00%
0x7b9b10a3c58fc7a0843afc6229c2aeccb7c820cd,23750,0.00%
0x59a6c7da9442e1bf371520d777106c910f74b2f7,23750,0.00%
0x2ca1ac8107220e1139ef27ed5db23166f0c5265a,23750,0.00%
0xc6c8022eaac4713eb00150700ec1399522e65fcf,23667,0.00%
0xba3825558dc67e444b135a96fdcd0fd4ac9a86ab,23000,0.00%
0x1bf8e2cb3fce06948db70b3c27c4abc5c00b6d3b,21658,0.00%
0xc41e223a581786f4d702701e9c320d3f2ff9ae4a,21658,0.00%
0xce77891d466fea0ee37315290c274c476025805e,21658,0.00%
0x5c68b88dfc8b6932e6eca76ff6bd5274924aef1f,21658,0.00%
0x758adddd74c1281eddc6cf364558608d2f3634a3,21658,0.00%
0xeddd0f29f6533d3a9b37d85a561e1a6cdfb57ed1,21000,0.00%
0x745138f0e378b9ecb27418e4394cfcea65743109,21000,0.00%
0x1f7dbe83936ec251b63d677791d6c9561a72af46,21000,0.00%
0x9429a7bf4dbe4dd91b75448ed0dbb339e7eae7e5,20878.8629,0.00%
0x81d00629511337d32d268166dfaec8831c0c88f3,20000,0.00%
0x0e2411270042b74bfc122872270978869c242c00,20000,0.00%
0x492a50b7803cc63ecce2b400023dfbc88d5b8f7c,20000,0.00%
0x508e90fd7b78a2f3ae0023ef42bdf6f52e139e8b,20000,0.00%
0x82c7680cd5517e178ff54903af25c1fe0f04a331,20000,0.00%
0xcad68993e697bc95db2644b591a23d946f731d9c,20000,0.00%
0x12033d5e99e07bd50129bcac69ccffc96c0f27de,19909,0.00%
0xcf4ef1ae270266576e9d1e5dd1c2bde0ac92aff8,19850,0.00%
0x22390f1b77ef9a23e92aceaaf735fee690647003,19800,0.00%
0x2340257f337aebbbf20c2e9d5dc915827c462d76,19800,0.00%
0xbb8e00917df88d51214929fa793450eb4bade94f,19794,0.00%
0x7d5a0121cb4f6d5681859860bacbdac8e6b6f890,19728,0.00%
0xf897a81a6ab5aa5cc24e18c9976b3882cd0f4ccf,19670,0.00%
0x09b8945336d965549202ecdb869a5f4017ffc8b5,19670,0.00%
0xdac7db8478c58a835588a4f75b0201937f5b4230,19670,0.00%
0x9c93878d7da40ee6f0c9260d8d206d6d2c6b8f89,19000,0.00%
0xc8125ad74a1bce125c566cf22b8b07b9c9a71e75,19000,0.00%
0xeeb9ace37c5da04a0f62d924c4f9d2a2cdbe6af8,19000,0.00%
0xb018731a13e98680ad8b8d37be9914b4741d7a2b,19000,0.00%
0x25b742d15cbf76dd9168095bfeffe95878db87df,19000,0.00%
0xcadd7c8c81ea7f39c725ec7441de6e34640c25cd,18889.1919,0.00%
0x7fa719b7f97b828b4ccf33b5f61c2afbe99acd7f,18000,0.00%
0x7ec17b6083bf1d04ec831697eb6d6705d9f4723d,18000,0.00%
0xff7b9e4da13ce8fd3d784f95ad44a97324bcfddc,18000,0.00%
0x78bab59fe8076912f728d993961c16b8fea02fdc,18000,0.00%
0x009cd34a18ce0a8e4d3c2edb179802a57d11c586,17410,0.00%
0x008d7d587ad71833037be0d52fe109a4a62f1259,17325,0.00%
0x7a336310422d2d71d3055af81162fd7b6fe5c561,17325,0.00%
0x09cd31a62553e8aec38f875ce10b21f9e3856ff6,17325,0.00%
0x0f1eaa1c0c756ceb7688af6729dc33cc9b5887b5,17000,0.00%
0x01db7a2c46cd9254c59d5aff45c16ba35b1857bd,16000,0.00%
0xf20cf1280f2eaeab8f3a545fa8d4ac63cf45a281,16000,0.00%
0x21e68b7ecaa491e86817e3521b969b317a884efc,15850,0.00%
0xafb457a88fdc692979d46e913d27ee0358e2530d,15778,0.00%
0x1f777dc79f4bd77f6e411ff9f67872cb8bca7c56,15778,0.00%
0x822c46ac679daefcf0469fd8db510cc4301173c8,15778,0.00%
0x2de79e77c6b8c2e28d159d8886874d90c80b82b0,15387,0.00%
0xd99d7bd65cd7afc36aa20a403572670e06b7daea,14763,0.00%
0x9f6a8d2c3da8722ed79163dd2457a0e05a6ae65d,14650,0.00%
0x9827533f682c094b3d96c6190582f906ce60b015,14350,0.00%
0xb5bdac5e2612d849e5dbfe443b7275d3286fb9c4,14000,0.00%
0xd685c01a2a6e082baa5d1b666d1e6c1e4bf8e8d6,14000,0.00%
0xc96e350dd84d81eb8701f352cac94f9169847876,14000,0.00%
0x02d44b663c3b29ff8cf3177d14d9fc2ceb01be5a,13500,0.00%
0x9a4aefc02aaafc93bdb15efdecc1ae50e887cb41,13412,0.00%
0x39990ea12fd788062f16ce81b769bbf0ef9c2c8e,13267,0.00%
0xb18e3a7ded1ed3ce0fac07b47847f2533706cd45,13267,0.00%
0xcebb02f2772785a864ed7b513148261b5ffd9500,13250,0.00%
0x6e909c87e8bc6112592b35e3b49fe77a366b9f0f,13065,0.00%
0x7c7722bf4d001955cbe021a4b597a67cfc715de2,12595,0.00%
0x58df23d7e6693a0ed91d7b0ad2865ad972756f40,12375,0.00%
0xabef3424b7257eda026268d025ab30f00f45855c,12375,0.00%
0x73f359cff9fd54be3763876e7b916f9543169e1b,12329,0.00%
0x04d60c74b1cb80a90178c12e127cf086798fee52,12251.215,0.00%
0x5e8e116a7cd9b8881c5d871bdc6831e6439d0af8,12000,0.00%
