Rank,Address,Quantity,Percentage
255,0x0410d99048499cd950df389036bd1735ec2f7ccf,185597.62,0.02%
256,0xc4249f3b14e35b4c60da4d05bed6a268ff1893ba,185029.4464,0.02%
257,0x2ac3a41927f0b48dd35412af0e31b7f8e54f15f4,184524.3124,0.02%
258,0x0ba7a6d6b0c252c52b2b46403a9435f1181ffdd4,184000,0.02%
259,0x0963b67e023290dd926bfd1fb702b15a25d4c80a,181120.2515,0.02%
260,0xac59f71c383de1ef94802676f72f1bae3d7d3029,180431.3809,0.02%
261,0x2ddbd3d7f0e80f87b93e0c79d3204a7269601d48,180236.8148,0.02%
262,0x0925810ec823090f5e69148ad242a8c9727fcb41,179868.0614,0.02%
263,0x5e575279bf9f4acf0a130c186861454247394c06,177416.4456,0.02%
264,0xd32de491d6aa39be048cfbb5e4b387dc481c5914,174283.0586,0.02%
265,0xf6b8c8e784647ef88ad6ec5992b76dce9af39ded,173600.1244,0.02%
266,0x92da71c4c70e3f72fddc7a5c469ed9cdaa55fa46,173391.8298,0.02%
267,0x13288f3f4d784377a1d94eea529e5955c57a54e5,172576.3226,0.02%
268,0xa6a9ea86dc7763daa015fbc92cbb98c2dd275ac8,172150,0.02%
269,0x89c51c0c4c14a092a8543e672ae5f756110ddac3,172111,0.02%
270,0x783cf7ba99bc10e0a3862b10a9357ea847a3b133,171711.675,0.02%
271,0xe21bed9a3014f479ad6e9dbe272cb09f5d538889,167715.8695,0.02%
272,0x4dc843d2d6e8b4e4d7454ea567eeafe3daf9dd7c,167643.6381,0.02%
273,0x7ec6064b6f21be41ca4f9f9c8fabacea08daf1aa,167536.8158,0.02%
274,0x3dba737ccc50a32a1764b493285dd51c8af6c278,166793.413,0.02%
275,0x1a530087192510f24e634167d1c18e3b48e5f4b5,164688.13,0.02%
276,0xbf3c29909260cb6edbee81c49efa32c2e5977615,161812.8806,0.02%
277,0x3fa9b8e3b8ade1092e06aa6480bb0b48604637e8,161238.8459,0.02%
278,0x307d5b24cffb428b04ef2f2ba483d46ecac00629,161121.5152,0.02%
279,0xb524751cf1603a0ac8f159fe9df90c86d5c81ec6,161035.7658,0.02%
280,0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,160063.7553,0.02%
281,0xb435a49d8f7fa2f3e773ed127d6f5eec1fdf70c4,160000.0007,0.02%
282,0x326f808542af1956d797643fda1b450fcb34c818,159881.2152,0.02%
283,0x00b7b9695e424b67102a811ccbedfa318e4ef05c,158853.7465,0.02%
284,0x924981d19f93b4bc5b2256782ad5a66200f2e211,157094.1207,0.02%
285,0xbfdd944ccd83988ab8ca5d7261c445c0d54fbb2b,156478.27,0.02%
