Address,Quantity,Percentage
0x8ca26647be35caefe603b7ff5cfb53e552af93bf,28543108,0.00%
0x8be08e6bc599e838a3b22332caac302b98db8b86,28420000,0.00%
0x88201718a6e14cdb6fb369a6c143eb43954b9f39,28393793,0.00%
0xdbb07b16ea12fc6345753d9e6f5bd4c7f4b883b7,28257240,0.00%
0xb99a4eb4b3c1aa17dee61ac3e54b30c23162c063,27942709,0.00%
0x72298fb4e977db7dd73dcfaa0f0c84b28e57828a,27707006,0.00%
0xf4757180d70c16f2f4e22903ff8f3e6430e33a16,27605003,0.00%
0x15c17b765c97be8e67fc6065992287364f4c5e9b,27199921,0.00%
0xbd91471befdf2861a904a2bb5c58fb42189d216a,27151337,0.00%
0x6836189288e1313ada86ec45c9166aa9d245d39d,27075627,0.00%
0xa5fb38dc6f4b42d773da8bdf3375d2c392e83edb,26967249,0.00%
0xae85a953752bbf63e32d5b3d36d0de6964b140c0,26941187,0.00%
0x46ee4a3c008e6d4b7d1d80fc49c2448367eafcab,26903306,0.00%
0xac61a46759073895cca6a1a924f5f16a8bdd6b50,26729901,0.00%
0x5150b62fafffbb1b0740ece5f230cf802bd4ca64,26229663.3,0.00%
0xf6677b7782ceefed28b3055eeca535f06e0a8c4a,26008909,0.00%
0x56d1218d52b4607112860c9b07384743042c144b,25869555,0.00%
0xf73c3c65bde10bf26c2e1763104e609a41702efe,25392785,0.00%
0x21e596c768ac9dd4331b06e2e89c8d2c79628846,25291686,0.00%
0x1cff217ebf0e106e917b457c504244097593ac11,25001000,0.00%
0x22ef069b693b8e4ca65c73f8a88178d816f5eef9,25000000,0.00%
0x074a3e9451fe3fb47be47786cf2dc4e84e797a6f,24353957,0.00%
0x713e7124c9409ce437d0176b7657bd6aed7fffc1,24249899,0.00%
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,24064345,0.00%
0x705f60fd24572f904396be881655fd468fb690fb,24027747.91,0.00%
0x9cfb9ce2a8b09b7e4d58a454f3c49ace2ea47c24,24007750,0.00%
0xc3f37100a2d450605e1016285f469955d577a7a4,23791937,0.00%
0xf4d3553885509723b27ace6a0a31d60e80f154a8,23745909,0.00%
0x243bec9256c9a3469da22103891465b47583d9f1,23590242,0.00%
0x00e9fec55aec66b9aece8e678fa8c99804afc334,23587432,0.00%
0x64e874ce614013aa5f3ef4c30157e3a88b4f10a0,23464264,0.00%
0x70e160892e7bbf0c059e718549d74a4bcc9b2d30,23448294,0.00%
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,23119900,0.00%
0x1c500e21b7189f8024150958d0f4b492894b65b6,22999801,0.00%
0xf006bd3c954d744a77e57f9796b8dc12a1be7ca5,22869047,0.00%
0xe4ba55b67b5596eaac5000b724dff7e86ad83196,22824462,0.00%
0x955cc95b46e9582a3334b83fbd77e98710cb31b8,22713791,0.00%
0x6780c2ae0f721928159056830b24becbfc972c27,22581749,0.00%
0xfe9dac1ded58b2b3929ebff0442d70029fa0cd43,22479937,0.00%
0xf562427a5f3dd389f361bb7af7f3b85ae37fb7e4,22464240,0.00%
0x9ff8c61de4c16b844213ab88af2d827f15031c5d,22400099,0.00%
0xa02ae4c7491d1e02e42e6b90c3a54028a591d9de,22250953,0.00%
0xf64edd94558ca8b3a0e3b362e20bb13ff52ea513,22215887,0.00%
0xba481a4aacb01c1a29511f67797d1bacddb8f263,22172886,0.00%
0x66eb0de38cdbbd157d6940b9542a6ca3c98e9080,22161360,0.00%
0xd44494040450e13609e860bf93263ec6a326dbe7,22149994,0.00%
0x97725fa556d45a60b7ec247d00ecad58e7fbb7a1,22079800,0.00%
