Rank,Address,Quantity,Percentage
30,0x8f86273f6dbc9df5a56020c5ea2bdf536a0aa276,200,0.0000%
31,0xc9f698783b94f93d1be97235a5df326ee3e16377,200,0.0000%
32,0x7867c948c0863d8bd401200c362eac83f9d0eeda,200,0.0000%
33,0x2ef6ec4fe99a791d93166ce4c17092f4f0e3dc51,200,0.0000%
34,0x2c2973d217af2f415fa221496dd8a59540427351,200,0.0000%
35,0x9a722ff9f5ef3a5c9472db27e56f74ed7f9fc11c,200,0.0000%
36,0x45686d3ee6bfaa41c4c98a4eafd575da5bb8605a,200,0.0000%
37,0x70b6fe247b2b8cd985464f42285244c6cd658190,200,0.0000%
38,0xce83b34bf635b3c6f518dcd216f979eb383121bd,200,0.0000%
39,0xcda5683c196c615c4f50591d3cec6495a5946418,200,0.0000%
40,0x1062a747393198f70f71ec65a582423dba7e5ab3,200,0.0000%
41,0x91b56437379050f2f5995b14b31949b8c2c9a23a,200,0.0000%
42,0xd2c7367213ff98026c496847c5fd8ff579593b25,200,0.0000%
43,0x242955905eb617b07c1097a24e53532cd4cc309b,200,0.0000%
44,0xe59f0d64784efa88752f87e480e3cdc9e21b6ddf,200,0.0000%
45,0x156feb939f73091cc8e9f65f30ba2249c38cf46c,200,0.0000%
46,0x13c0a82bc415a5bff4df2401d66dfe2c46593895,200,0.0000%
47,0xec1e47007b6425ea163e1bada3e884d0bb282484,200,0.0000%
48,0x4d1d2cd718f6a998160c163f1ca4b7e67434e563,200,0.0000%
49,0xf4b101f9512913b097857ef59eb7154e38602632,200,0.0000%
50,0x6c590fab33ccf05ed2a074e9a519e4ca8c37cff9,200,0.0000%
51,0xa42fc4ff23fa47aebaf17230aa01865d2713d6ba,200,0.0000%
52,0x693d7f6d9b51b1c35124c5b24aeeb1e6d0ce965a,200,0.0000%
53,0x033f8a02128344da4cae5b88b7f2be82301aa9c2,200,0.0000%
54,0x2c74936efb85971fd24903e08f30ec9befc50634,200,0.0000%
55,0x3287808cd9404f4ace4b99d93d34bd67fb07af06,200,0.0000%
56,0x80e0a952c465a83275b9ab8388ef0d28bf08186f,200,0.0000%
57,0xf47f60cb5426f63a8dd3786387742c2c49ad96e3,200,0.0000%
58,0xe1ea2d3edcac654295031e139bb9957c85f38e7e,200,0.0000%
59,0x0e39858696b6dca26a541718fe1abcdd93a98f53,200,0.0000%
